system,source,n,brier,log_score,calibration_error
aia_baseline,acled,200,0.15431649032990913,0.4952637839835453,0.20594618863939013
aia_baseline,dbnomics,190,0.23299832918895108,0.6561397043114715,0.16383157259556064
aia_baseline,fred,196,0.2563960676580528,0.7060399953509554,0.11320294082574413
aia_baseline,infer,5,0.039073883470348056,0.15218834704420395,0.12646998523077732
aia_baseline,manifold,21,0.034742713551781254,0.12440824125393582,0.0394334620111374
aia_baseline,metaculus,11,0.23211620946686226,0.7913689183878486,0.2358425171308539
aia_baseline,polymarket,70,0.0167092894697735,0.06989551061716674,0.04601472140268848
aia_baseline,wikipedia,192,0.20057401078930184,0.5924223931341615,0.13803543374737767
aia_baseline,yfinance,192,0.2488561305528639,0.6909072207430911,0.09381435621903413
evidence_graph_v1,acled,200,0.11480233781693056,0.39337465927368626,0.0672799366612062
evidence_graph_v1,dbnomics,190,0.26439213122196625,0.7217740934582546,0.17420710789917537
evidence_graph_v1,fred,196,0.28540652276443834,0.7678799991818627,0.2068849924333518
evidence_graph_v1,infer,5,0.052281262331170184,0.18466172556848062,0.14905127755988762
evidence_graph_v1,manifold,21,0.03660689314090117,0.14565360314665549,0.08097310187027346
evidence_graph_v1,metaculus,11,0.21442252104093396,0.6616723497344716,0.21579354867417883
evidence_graph_v1,polymarket,70,0.02002141626413938,0.08766794516307357,0.057735910316323885
evidence_graph_v1,wikipedia,192,0.18387937754813613,0.5557366605456867,0.03750031883468663
evidence_graph_v1,yfinance,192,0.26762352107552656,0.7314749109890023,0.16854930003624027
historical_analog,acled,200,0.11122769250000002,0.37378285462810573,0.087245
historical_analog,dbnomics,190,0.24699961906943996,0.6870903271257285,0.006383234193241514
historical_analog,fred,196,0.22921263449470108,0.64359208651981,0.09718043238137955
historical_analog,infer,5,0.05479000599999999,0.19079930227406755,0.15326
historical_analog,manifold,21,0.03767341518441604,0.15232720716552747,0.057777293823784034
historical_analog,metaculus,11,0.2071930909090909,0.6302509352541426,0.23654545454545453
historical_analog,polymarket,70,0.020948053571428572,0.09199194263054761,0.06146428571428571
historical_analog,wikipedia,192,0.18211908333333335,0.5503961398359842,0.011166666666666686
historical_analog,yfinance,192,0.25084981591617866,0.6949059685789035,0.062160997146793275
historical_evidence_blend,acled,200,0.11480233781693056,0.39337465927368626,0.0672799366612062
historical_evidence_blend,dbnomics,190,0.24699961906943996,0.6870903271257285,0.006383234193241514
historical_evidence_blend,fred,196,0.22921263449470108,0.64359208651981,0.09718043238137955
historical_evidence_blend,infer,5,0.052281262331170184,0.18466172556848062,0.14905127755988762
historical_evidence_blend,manifold,21,0.03660689314090117,0.14565360314665549,0.08097310187027346
historical_evidence_blend,metaculus,11,0.21442252104093396,0.6616723497344716,0.21579354867417883
historical_evidence_blend,polymarket,70,0.02002141626413938,0.08766794516307357,0.057735910316323885
historical_evidence_blend,wikipedia,192,0.18387937754813613,0.5557366605456867,0.03750031883468663
historical_evidence_blend,yfinance,192,0.25084981591617866,0.6949059685789035,0.062160997146793275
hybrid_analog_search,acled,200,0.11596538601858715,0.40162806354171815,0.07331188258837928
hybrid_analog_search,dbnomics,190,0.2470000162105263,0.6870911120774528,0.011645263157894761
hybrid_analog_search,fred,196,0.22921278877551018,0.6435921131577955,0.09718061224489796
hybrid_analog_search,infer,5,0.052939243062598104,0.1865767912165146,0.15053475777899736
hybrid_analog_search,manifold,21,0.03767786674552555,0.15217494184831912,0.057691492523536274
hybrid_analog_search,metaculus,11,0.2072649809211395,0.6320593471922521,0.23655739182602098
hybrid_analog_search,polymarket,70,0.020933672294974177,0.09179457548098824,0.06151145971213214
hybrid_analog_search,wikipedia,192,0.18419892650390401,0.5570132479719642,0.04814378250410064
hybrid_analog_search,yfinance,192,0.2508505144791667,0.6949074152628931,0.0621604166666667
search_llm_loop,acled,200,0.11596538601858715,0.40162806354171815,0.07331188258837928
search_llm_loop,dbnomics,190,0.2470000162105263,0.6870911120774528,0.011645263157894761
search_llm_loop,fred,196,0.22921278877551018,0.6435921131577955,0.09718061224489796
search_llm_loop,infer,5,0.052939243062598104,0.1865767912165146,0.15053475777899736
search_llm_loop,manifold,21,0.03767786674552555,0.15217494184831912,0.057691492523536274
search_llm_loop,metaculus,11,0.2072649809211395,0.6320593471922521,0.23655739182602098
search_llm_loop,polymarket,70,0.020933672294974177,0.09179457548098824,0.06151145971213214
search_llm_loop,wikipedia,192,0.18419892650390401,0.5570132479719642,0.04814378250410064
search_llm_loop,yfinance,192,0.2508505144791667,0.6949074152628931,0.0621604166666667
