reference,comparator,metric,n,mean_diff,ci_low,ci_high,p_reference_worse_or_equal
reliability_routed_gate,taxonomy_routed_gate,brier,1077,1.9584078239855855e-05,0.0,5.875223471956757e-05,1.0
reliability_routed_gate,historical_analog,brier,1077,-0.002956940710026884,-0.006184302351910541,0.0004729971446330856,0.05
reliability_routed_gate,search_llm_loop,brier,1077,-0.004199031871849272,-0.007760336937123925,-0.0005880697833732984,0.011
reliability_routed_gate,source_routed_gate,brier,1077,-0.010295264697576037,-0.013707654849564016,-0.006824319319780374,0.0
reliability_routed_gate,aia_baseline,brier,1077,-0.01621909608661131,-0.021895757252602958,-0.010253386859883362,0.0
reliability_routed_gate,taxonomy_global_calibrated,brier,1077,-0.003510813963518846,-0.005892889671276895,-0.0012583869298635575,0.0005
reliability_routed_gate,taxonomy_source_calibrated,brier,1077,-0.015725036221602175,-0.020617586928382465,-0.010765954277183782,0.0
reliability_routed_gate,taxonomy_routed_gate,log_score,1077,3.938244410737371e-05,0.0,0.00011814733232212112,1.0
reliability_routed_gate,historical_analog,log_score,1077,-0.006647881628263502,-0.013975619933352116,0.0007181317022973277,0.041
reliability_routed_gate,search_llm_loop,log_score,1077,-0.012981888474995438,-0.021467184654038556,-0.004203753020789104,0.0025
reliability_routed_gate,source_routed_gate,log_score,1077,-0.025713963544879672,-0.034600774045416,-0.016876428048462223,0.0
reliability_routed_gate,aia_baseline,log_score,1077,-0.04137660328963673,-0.057806885465344716,-0.024863074750198624,0.0
reliability_routed_gate,taxonomy_global_calibrated,log_score,1077,-0.01373591153145137,-0.022913404235990337,-0.0053222768839202095,0.001
reliability_routed_gate,taxonomy_source_calibrated,log_score,1077,-0.04039267106305878,-0.053138423945380944,-0.027378185376647164,0.0
