source,system,n,brier,log_score,calibration_error
acled,aia_baseline,110,0.1289070011806024,0.4423761756829099,0.27970190205509327
acled,evidence_graph_v1,110,0.04965129015119531,0.1952164190730325,0.004779488303781651
acled,historical_analog,110,0.05002370909090909,0.2023152444747413,0.05963636363636364
acled,historical_evidence_blend,110,0.04965129015119531,0.1952164190730325,0.004779488303781651
acled,hybrid_analog_search,110,0.04982922307399023,0.1954452711511112,0.0007969896029189003
acled,market_only,110,0.25,0.6931471805599453,0.44545454545454544
acled,search_llm_loop,110,0.04982922307399023,0.1954452711511112,0.0007969896029189003
dbnomics,aia_baseline,88,0.2068647288308904,0.6044291474478926,0.16338646346986158
dbnomics,evidence_graph_v1,88,0.18881033526642407,0.5574826535751032,0.08399751272613427
dbnomics,historical_analog,88,0.23433485376518493,0.6617013568275095,0.10895091194591888
dbnomics,historical_evidence_blend,88,0.23433485376518493,0.6617013568275095,0.10895091194591888
dbnomics,hybrid_analog_search,88,0.23433457875,0.6617008049465375,0.10894659090909092
dbnomics,market_only,88,0.25,0.6931471805599453,0.17045454545454547
dbnomics,search_llm_loop,88,0.23433457875,0.6617008049465375,0.10894659090909092
fred,aia_baseline,108,0.23215967592113415,0.6571305975954843,0.08765063815136623
fred,evidence_graph_v1,108,0.2233781697845234,0.6381542367679423,0.024175091685492985
fred,historical_analog,108,0.18478818858768165,0.5431316621526494,0.17679283810641788
fred,historical_evidence_blend,108,0.18507329388152152,0.5437258861619069,0.176911092617697
fred,hybrid_analog_search,108,0.18537251692101908,0.544356582091848,0.18456121169043888
fred,market_only,108,0.25,0.6931471805599453,0.14814814814814814
fred,search_llm_loop,108,0.18537251692101908,0.544356582091848,0.18456121169043888
infer,aia_baseline,10,0.13800734242587126,0.3735550887439156,0.18835282374789689
infer,evidence_graph_v1,10,0.1270311812499207,0.3471122570816943,0.17787505910911133
infer,historical_analog,10,0.125251485,0.3433753952605861,0.17579000000000003
infer,historical_evidence_blend,10,0.1270311812499207,0.3471122570816943,0.17787505910911133
infer,hybrid_analog_search,10,0.12325630601963758,0.3388413580442592,0.1733423181682539
infer,market_only,10,0.125251485,0.3433753952605861,0.17579000000000003
infer,search_llm_loop,10,0.12325630601963758,0.3388413580442592,0.1733423181682539
manifold,aia_baseline,15,0.16488574560246802,0.5549245678337038,0.23381593275390836
manifold,evidence_graph_v1,15,0.16157554282464898,0.5222424560080016,0.21080838565289994
manifold,historical_analog,15,0.1622827565372353,0.5187965525868635,0.21673688879460962
manifold,historical_evidence_blend,15,0.16157554282464898,0.5222424560080016,0.21080838565289994
manifold,hybrid_analog_search,15,0.161096129800001,0.5151968264429087,0.21503843891024899
manifold,market_only,15,0.1622827565372353,0.5187965525868635,0.21673688879460962
manifold,search_llm_loop,15,0.161096129800001,0.5151968264429087,0.21503843891024899
metaculus,aia_baseline,9,0.06991234210588902,0.22977157474215215,0.17598301494659135
metaculus,evidence_graph_v1,9,0.07619618194355551,0.25726988789241745,0.20058000130570525
metaculus,historical_analog,9,0.07856277777777779,0.26546170352782295,0.20744444444444443
metaculus,historical_evidence_blend,9,0.07619618194355551,0.25726988789241745,0.20058000130570525
metaculus,hybrid_analog_search,9,0.07872235877036068,0.26515010418451784,0.20674347879057797
metaculus,market_only,9,0.07856277777777779,0.26546170352782295,0.20744444444444443
metaculus,search_llm_loop,9,0.07872235877036068,0.26515010418451784,0.20674347879057797
polymarket,aia_baseline,22,0.14000117296464645,0.4350487633305049,0.208159257849358
polymarket,evidence_graph_v1,22,0.1339721046111769,0.39791604541991216,0.14554670818139787
polymarket,historical_analog,22,0.13302095454545457,0.39386843385384845,0.17149999999999999
polymarket,historical_evidence_blend,22,0.1339721046111769,0.39791604541991216,0.14554670818139787
polymarket,hybrid_analog_search,22,0.13236577858171636,0.3934163786725861,0.14415216480035478
polymarket,market_only,22,0.13302095454545457,0.39386843385384845,0.17149999999999999
polymarket,search_llm_loop,22,0.13236577858171636,0.3934163786725861,0.14415216480035478
wikipedia,aia_baseline,105,0.1912960604777354,0.5732968331817085,0.16356750435440756
wikipedia,evidence_graph_v1,105,0.1648127699592903,0.5107665264940636,0.019956454622472836
wikipedia,historical_analog,105,0.1657444476190476,0.5137138637047511,0.0366761904761905
wikipedia,historical_evidence_blend,105,0.1648127699592903,0.5107665264940636,0.019956454622472836
wikipedia,hybrid_analog_search,105,0.16471279491890467,0.5105522427584211,0.024262810825596406
wikipedia,market_only,105,0.25,0.6931471805599453,0.29047619047619044
wikipedia,search_llm_loop,105,0.16471279491890467,0.5105522427584211,0.024262810825596406
yfinance,aia_baseline,110,0.21960843328279073,0.6310499716750283,0.11294682405958227
yfinance,evidence_graph_v1,110,0.20871726799583612,0.6053993994735289,0.060655918390594185
yfinance,historical_analog,110,0.2519480932228668,0.6977419085688455,0.14397197770842238
yfinance,historical_evidence_blend,110,0.2504597410840785,0.6943019878036943,0.13264623163400624
yfinance,hybrid_analog_search,110,0.2504956264106362,0.6944052427953334,0.13266593755944045
yfinance,market_only,110,0.25,0.6931471805599453,0.1636363636363637
yfinance,search_llm_loop,110,0.2504956264106362,0.6944052427953334,0.13266593755944045
